I/SleepMonitor: 1571685760361, 9.836886;1571685760456, 9.841932;1571685760552, 9.857569;1571685760647, 9.893521;1571685760744, 9.91656;1571685760841, 9.831515;1571685760934, 9.822052;1571685761029, 9.865621;1571685761126, 9.864543;1571685761220, 9.865254;1571685761317, 9.878368;
I/SleepMonitor: 1571685761411, 9.871849;1571685761507, 9.794749;1571685761602, 9.865807;1571685761698, 9.887225;1571685761793, 9.882471;1571685761890, 9.86583;1571685761984, 9.840006;1571685762079, 9.822324;1571685762175, 9.878287;1571685762271, 9.850277;1571685762366, 9.821827;
I/SleepMonitor: 1571685762461, 9.823557;1571685762558, 9.855265;1571685762651, 9.905602;1571685762748, 9.942498;1571685762843, 9.893555;1571685762940, 9.808533;1571685763033, 9.7945;1571685763128, 9.87221;1571685763225, 9.888848;1571685763321, 9.873276;1571685763415, 9.857674;
I/SleepMonitor: 1571685763511, 9.821731;1571685763607, 9.870551;1571685763701, 9.856145;1571685763796, 9.889757;1571685763891, 9.859708;1571685763987, 9.87144;1571685764082, 9.813616;1571685764178, 9.877745;1571685764273, 9.865961;1571685764369, 9.863978;1571685764464, 9.837983;
I/SleepMonitor: 1571685764560, 9.858282;1571685764655, 9.895944;1571685764751, 9.877254;1571685764846, 9.784102;1571685764941, 9.853676;1571685765037, 9.732357;1571685765132, 9.876897;1571685765228, 9.883911;1571685765323, 9.908719;1571685765419, 9.8890915;1571685765514, 9.867669;
I/SleepMonitor: 1571685765610, 9.789995;1571685765705, 9.834118;1571685765800, 9.908214;1571685765896, 9.8449;1571685765991, 9.825634;1571685766086, 9.863808;1571685766181, 9.865873;1571685766277, 9.839171;1571685766373, 9.885311;1571685766469, 9.886115;1571685766564, 9.835246;
I/SleepMonitor: 1571685766660, 9.822772;1571685766755, 9.923273;1571685766850, 9.854685;1571685766946, 9.797705;1571685767041, 9.8498335;1571685767137, 9.848602;1571685767232, 9.872131;1571685767327, 9.922951;1571685767423, 9.879345;1571685767519, 9.789261;1571685767616, 9.814383;
I/SleepMonitor: 1571685767709, 9.855564;1571685767804, 9.900435;1571685767900, 9.894065;1571685767995, 9.895025;1571685768090, 9.8671;1571685768186, 9.823631;1571685768282, 9.875303;1571685768376, 9.825601;1571685768472, 9.849436;1571685768568, 9.83784;1571685768664, 9.818662;
I/SleepMonitor: 1571685768760, 9.808217;1571685768857, 9.848832;1571685768954, 9.821406;1571685769047, 9.809336;1571685769145, 9.780218;1571685769239, 9.812792;1571685769335, 9.841017;1571685769431, 9.806068;1571685769526, 9.795631;1571685769622, 9.780188;1571685769718, 9.761751;
I/SleepMonitor: 1571685769814, 9.836063;1571685769910, 9.881266;1571685770005, 9.850734;1571685770102, 9.816278;1571685770197, 9.775054;1571685770294, 9.762102;1571685770389, 9.770258;1571685770485, 9.803444;1571685770580, 9.817819;1571685770676, 9.782173;1571685770773, 9.8161545;
I/SleepMonitor: 1571685770868, 8.656414;1571685770964, 10.086675;1571685771059, 9.589654;1571685771155, 9.851552;1571685771253, 9.735355;1571685771347, 9.708097;1571685771443, 9.778925;1571685771541, 9.841607;1571685771634, 9.83962;1571685771730, 9.82137;1571685771826, 9.762121;
I/SleepMonitor: 1571685771923, 9.820614;1571685772018, 9.869535;1571685772114, 9.838033;1571685772209, 9.7987385;1571685772305, 9.784037;1571685772402, 9.7913;1571685772496, 9.714234;1571685772596, 9.829;1571685772689, 9.852323;1571685772784, 9.808187;1571685772881, 9.777299;
I/SleepMonitor: 1571685772977, 9.798934;1571685773071, 9.785467;1571685773166, 9.8136425;1571685773262, 9.801786;1571685773358, 9.804308;1571685773454, 9.769519;1571685773551, 9.775106;1571685773646, 9.850466;1571685773742, 9.82439;1571685773837, 9.82039;1571685773934, 9.790826;
I/SleepMonitor: 1571685774030, 9.771283;1571685774126, 9.798381;1571685774219, 9.864495;1571685774316, 9.809686;1571685774411, 9.816019;1571685774507, 9.825003;1571685774604, 9.757575;1571685774699, 9.748464;1571685774794, 9.848028;1571685774891, 9.840702;1571685774991, 9.84122;
I/SleepMonitor: 1571685775084, 9.847112;1571685775179, 9.804029;1571685775275, 9.816356;1571685775370, 9.751292;1571685775466, 9.859074;1571685775562, 9.779557;1571685775659, 9.8110695;1571685775754, 9.335551;1571685775849, 9.687701;1571685775947, 9.523704;1571685776041, 8.635459;
I/SleepMonitor: 1571685776137, 9.69106;1571685776234, 9.63392;1571685776330, 9.756343;1571685776425, 9.815548;1571685776520, 9.665088;1571685776617, 9.77659;1571685776712, 9.786569;1571685776819, 9.8811245;1571685776921, 9.837032;1571685777001, 11.59824;1571685777101, 9.648413;
I/SleepMonitor: 1571685777191, 9.773658;1571685777286, 9.784346;1571685777382, 9.741133;1571685777478, 9.781156;1571685777574, 9.790109;1571685777670, 9.814075;1571685777766, 9.759029;1571685777861, 9.826601;1571685777958, 9.811553;1571685778054, 9.825959;1571685778150, 9.812154;
I/SleepMonitor: 1571685778245, 9.788657;1571685778340, 9.7337675;1571685778438, 9.764299;1571685778533, 9.828365;1571685778628, 9.82809;1571685778724, 9.809478;1571685778820, 9.819544;1571685778915, 9.774674;1571685779011, 9.762225;1571685779107, 9.78545;1571685779202, 9.823648;
I/SleepMonitor: 1571685779298, 9.804729;1571685779394, 9.750445;1571685779490, 9.721844;1571685779586, 9.764395;1571685779682, 9.785601;1571685779779, 9.81896;1571685779873, 9.835588;1571685779969, 9.80714;1571685780066, 9.792806;1571685780161, 9.800176;1571685780257, 9.797865;
I/SleepMonitor: 1571685780353, 9.795608;1571685780448, 9.740439;1571685780544, 9.728639;1571685780640, 9.76439;1571685780736, 9.804505;1571685780832, 9.849918;1571685780928, 9.862266;1571685781023, 9.793264;1571685781119, 9.750235;1571685781215, 9.747705;1571685781312, 9.799876;
I/SleepMonitor: 1571685781407, 9.81631;1571685781504, 9.8239975;1571685781598, 9.783724;1571685781694, 9.738288;1571685781790, 9.766749;1571685781886, 9.81662;1571685781981, 9.826114;1571685782077, 9.828728;1571685782172, 9.80744;1571685782269, 9.771763;1571685782365, 9.776282;
I/SleepMonitor: 1571685782460, 9.8123045;1571685782556, 9.78346;1571685782652, 9.790471;1571685782748, 9.773685;1571685782845, 9.814189;1571685782939, 9.816369;1571685783036, 9.862123;1571685783130, 9.828938;1571685783227, 9.748176;1571685783323, 9.714668;1571685783419, 9.742436;
I/SleepMonitor: 1571685783515, 9.799338;1571685783610, 9.840091;1571685783706, 9.8428335;1571685783802, 9.8001795;1571685783897, 9.750281;1571685783994, 9.776178;1571685784089, 9.814121;1571685784185, 9.838241;1571685784280, 9.8165045;1571685784377, 9.800548;1571685784472, 9.75938;
I/SleepMonitor: 1571685784568, 9.773536;1571685784664, 9.802422;1571685784759, 9.797867;1571685784855, 9.788119;1571685784951, 9.804748;1571685785047, 9.78997;1571685785142, 9.823462;1571685785238, 9.823978;1571685785335, 9.776786;1571685785430, 9.743652;1571685785526, 9.750085;
I/SleepMonitor: 1571685785622, 9.761543;1571685785725, 9.813603;1571685785814, 9.833153;1571685785909, 9.824281;1571685786005, 9.79125;1571685786101, 9.740732;1571685786197, 9.780612;1571685786292, 9.790198;1571685786387, 9.830938;1571685786483, 9.810024;1571685786579, 9.78345;
I/SleepMonitor: 1571685786674, 9.767084;1571685786771, 9.836111;1571685786866, 9.766367;1571685786963, 9.821816;1571685787059, 9.766532;1571685787155, 9.807197;1571685787249, 9.766506;1571685787345, 9.83319;1571685787442, 9.78119;1571685787538, 9.748237;1571685787633, 9.72874;
I/SleepMonitor: 1571685787729, 9.747435;1571685787825, 9.818484;1571685787920, 9.8592;1571685788016, 9.847575;1571685788113, 9.748158;1571685788208, 9.633814;1571685788304, 9.683394;1571685788400, 9.787793;1571685788496, 9.861706;1571685788591, 9.8403015;1571685788688, 9.764502;
I/SleepMonitor: 1571685788784, 9.774316;1571685788879, 9.781607;1571685788976, 9.807076;1571685789071, 9.799962;1571685789168, 9.783271;1571685789263, 9.848776;1571685789358, 9.718752;1571685789455, 9.833326;1571685789550, 9.938225;1571685789646, 9.804575;1571685789742, 9.78418;
I/SleepMonitor: 1571685789839, 9.83822;1571685789933, 9.801647;1571685790030, 9.839425;1571685790126, 9.8299465;1571685790220, 9.797364;1571685790316, 9.709383;1571685790412, 9.7406025;1571685790508, 9.758704;1571685790605, 9.83458;1571685790700, 9.861008;1571685790795, 9.837542;
