I: 1571729198796, 9.830219;1571729198892, 9.818656;1571729198988, 9.794581;1571729199081, 9.817324;1571729199177, 9.824507;1571729199276, 9.822326;1571729199371, 9.800708;1571729199466, 9.814531;1571729199561, 9.822158;1571729199656, 9.818931;1571729199756, 9.807983;
I: 1571729199850, 9.8136215;1571729199947, 9.819266;1571729200053, 9.831601;1571729200137, 9.819421;1571729200232, 9.827813;1571729200326, 9.817959;1571729200420, 9.816387;1571729200516, 9.839305;1571729200612, 9.812381;1571729200708, 9.8192005;1571729200803, 9.810199;
I: 1571729200898, 9.8315115;1571729200994, 9.797645;1571729201090, 9.814075;1571729201187, 9.8021345;1571729201282, 9.805011;1571729201379, 9.82945;1571729201473, 9.794436;1571729201569, 9.836246;1571729201666, 9.800707;1571729201764, 9.82466;1571729201859, 9.809224;
I: 1571729201953, 9.808126;1571729202056, 9.8107395;1571729202144, 9.812381;1571729202243, 9.815414;1571729202338, 9.817959;1571729202436, 9.813016;1571729202529, 9.828903;1571729202625, 9.814181;1571729202720, 9.8112955;1571729202818, 9.817779;1571729202917, 9.797941;
I: 1571729203012, 9.805437;1571729203107, 9.800138;1571729203204, 9.822516;1571729203298, 9.817959;1571729203395, 9.812931;1571729203490, 9.824603;1571729203587, 9.834822;1571729203683, 9.830904;1571729203777, 9.809236;1571729203875, 9.829773;1571729203968, 9.816095;
I: 1571729204060, 9.834096;1571729204159, 9.816931;1571729204256, 9.817229;1571729204351, 9.824233;1571729204447, 9.834574;1571729204544, 9.815594;1571729204639, 9.806076;1571729204737, 9.82267;1571729204834, 9.814569;1571729204929, 9.818152;1571729205022, 9.810199;
I: 1571729205119, 9.806563;1571729205214, 9.827996;1571729205310, 9.828449;1571729205405, 9.823326;1571729205502, 9.815625;1571729205598, 9.816322;1571729205694, 9.810046;1571729205788, 9.818758;1571729205885, 9.814803;1571729205980, 9.816841;1571729206075, 9.826658;
I: 1571729206172, 9.816228;1571729206268, 9.833058;1571729206363, 9.81156;1571729206461, 9.825386;1571729206559, 9.828367;1571729206650, 9.798193;1571729206744, 9.858172;1571729206845, 9.8123;1571729206939, 9.834274;1571729207035, 9.818836;1571729207131, 9.81741;
I: 1571729207228, 9.810288;1571729207318, 9.810596;1571729207420, 9.823483;1571729207516, 9.85055;1571729207610, 9.816931;1571729207702, 9.813804;1571729207801, 9.805503;1571729207894, 9.829966;1571729207993, 9.814297;1571729208089, 9.818478;1571729208185, 9.816956;
I: 1571729208282, 9.820749;1571729208376, 9.831058;1571729208472, 9.806056;1571729208567, 9.841823;1571729208663, 9.816595;1571729208760, 9.814511;1571729208855, 9.833241;1571729208954, 9.805467;1571729209053, 9.819935;1571729209143, 9.825421;1571729209239, 9.822326;
I: 1571729209334, 9.846153;1571729209431, 9.806108;1571729209527, 9.818452;1571729209623, 9.820113;1571729209718, 9.80741;1571729209815, 9.826931;1571729209909, 9.81814;1571729210006, 9.822234;1571729210100, 9.8068905;1571729210199, 9.811106;1571729210292, 9.833753;
I: 1571729210389, 9.805437;1571729210485, 9.809313;1571729210576, 9.807752;1571729210675, 9.824208;1571729210771, 9.838242;1571729210869, 9.8236;1571729210968, 9.826639;1571729211057, 9.805654;1571729211157, 9.812902;1571729211252, 9.82097;1571729211347, 9.845693;
I: 1571729211442, 9.805558;1571729211537, 9.822242;1571729211633, 9.839943;1571729211729, 9.822544;1571729211822, 9.825213;1571729211920, 9.821601;1571729212016, 9.829725;1571729212113, 9.813335;1571729212208, 9.869321;1571729212304, 9.817324;1571729212400, 9.803516;
I: 1571729212496, 9.822419;1571729212590, 9.816907;1571729212687, 9.807079;1571729212783, 9.817496;1571729212878, 9.819757;1571729212975, 9.802409;1571729213067, 9.839854;1571729213166, 9.818689;1571729213262, 9.829966;1571729213360, 9.824324;1571729213628, 9.806653;
I: 1571729213628, 9.807329;1571729213647, 9.81741;1571729213742, 9.840609;1571729213839, 9.814735;1571729213933, 9.834362;1571729214026, 9.819935;1571729214121, 9.823146;1571729214217, 9.8411875;1571729214313, 9.814935;1571729214409, 9.831784;1571729214505, 9.8239355;
I: 1571729214600, 9.831389;1571729214696, 9.824962;1571729214792, 9.806027;1571729214889, 9.835083;1571729214986, 9.810003;1571729215079, 9.812442;1571729215176, 9.83831;1571729215272, 9.821815;1571729215368, 9.818563;1571729215466, 9.826113;1571729215560, 9.806173;
I: 1571729215656, 9.827359;1571729215754, 9.797323;1571729215849, 9.796462;1571729215945, 9.808362;1571729216038, 9.82548;1571729216135, 9.80397;1571729216232, 9.820807;1571729216326, 9.826639;1571729216425, 9.804924;1571729216519, 9.827022;1571729216616, 9.809726;
I: 1571729216714, 9.804556;1571729216809, 9.82021;1571729216905, 9.813987;1571729217000, 9.797551;1571729217094, 9.815169;1571729217192, 9.823779;1571729217287, 9.830605;1571729217386, 9.813177;1571729217479, 9.8371525;1571729217571, 9.81814;1571729217669, 9.832845;
I: 1571729217765, 9.8326645;1571729217860, 9.824414;1571729217957, 9.803374;1571729218056, 9.825548;1571729218147, 9.818963;1571729218243, 9.821601;1571729218339, 9.84534;1571729218434, 9.820113;1571729218530, 9.809861;1571729218627, 9.814075;1571729218723, 9.79274;
I: 1571729218816, 9.804194;1571729218915, 9.8353615;1571729219015, 9.807344;1571729219107, 9.818836;1571729219205, 9.830635;1571729219298, 9.800668;1571729219394, 9.817009;1571729219490, 9.811047;1571729219585, 9.81641;1571729219681, 9.833935;1571729219778, 9.809174;
I: 1571729219876, 9.815229;1571729219968, 9.810776;1571729220068, 9.820807;1571729220160, 9.825207;1571729220259, 9.785192;1571729220354, 9.852776;1571729220449, 9.82352;1571729220546, 9.8326645;1571729220641, 9.82296;1571729220738, 9.8213;1571729220834, 9.817685;
I: 1571729220927, 9.811925;1571729221025, 9.798829;1571729221120, 9.805856;1571729221217, 9.795625;1571729221312, 9.793526;1571729221406, 9.826387;1571729221503, 9.814812;1571729221598, 9.81344;1571729221693, 9.814531;1571729221790, 9.811777;1571729221885, 9.818689;
I: 1571729221985, 9.822417;1571729222073, 9.827817;1571729222175, 9.829995;1571729222269, 9.825143;1571729222364, 9.804102;1571729222460, 9.819928;1571729222559, 9.823781;1571729222653, 9.839429;1571729222751, 9.80122;1571729222847, 9.823004;1571729222941, 9.782588;
I: 1571729223035, 9.813446;1571729223131, 9.813411;1571729223230, 9.812742;1571729223320, 9.835998;1571729223420, 9.798159;1571729223516, 9.83509;1571729223611, 9.8136215;1571729223706, 9.809772;1571729223805, 9.818;1571729223898, 9.831214;1571729223996, 9.821898;
I: 1571729224088, 9.8193035;1571729224187, 9.817477;1571729224281, 9.806563;1571729224379, 9.81469;1571729224472, 9.833666;1571729224567, 9.818931;1571729224666, 9.8353615;1571729224761, 9.818398;1571729224856, 9.792402;1571729224954, 9.792579;1571729225051, 9.838332;
I: 1571729225142, 9.804216;1571729225241, 9.779213;1571729225337, 9.850266;1571729225433, 9.828853;1571729225528, 9.819657;1571729225622, 9.877304;1571729225720, 9.812655;1571729225816, 9.839759;1571729225911, 9.8322115;1571729226007, 9.829095;1571729226101, 9.818271;
I: 1571729226199, 9.813208;1571729226296, 9.815511;1571729226391, 9.808263;1571729226486, 9.8207;1571729226581, 9.811869;1571729226678, 9.803588;1571729226772, 9.814531;1571729226870, 9.818836;1571729226964, 9.837545;1571729227059, 9.798885;1571729227156, 9.810018;
I: 1571729227253, 9.837424;1571729227350, 9.803042;1571729227446, 9.818184;1571729227539, 9.818657;1571729227634, 9.793794;1571729227730, 9.823083;1571729227825, 9.830087;1571729227918, 9.820264;1571729228015, 9.824507;1571729228109, 9.799269;1571729228206, 9.8517;
I: 1571729228302, 9.810776;1571729228397, 9.826724;1571729228495, 9.828788;1571729228589, 9.833522;1571729228686, 9.817929;1571729228782, 9.802167;1571729228877, 9.789769;1571729228976, 9.797461;1571729229067, 9.828524;1571729229164, 9.776277;1571729229262, 9.854279;
I: 1571729229356, 9.846496;1571729229452, 9.783598;1571729229549, 9.799622;1571729229643, 9.837788;1571729229740, 9.806206;1571729229838, 9.8465185;1571729229933, 9.828367;1571729230028, 9.811742;1571729230123, 9.810696;1571729230220, 9.819991;1571729230317, 9.819447;
I: 1571729230413, 9.822723;1571729230509, 9.836998;1571729230604, 9.8136835;1571729230701, 9.8068905;1571729230799, 9.825113;1571729230893, 9.812986;1571729230989, 9.830542;1571729231083, 9.817929;1571729231180, 9.797733;1571729231278, 9.814622;1571729231371, 9.833575;
I: 1571729231469, 9.816683;1571729231572, 9.8384075;1571729231659, 9.800068;1571729231755, 9.820807;1571729231853, 9.817177;1571729231948, 9.800133;1571729232042, 9.800586;1571729232138, 9.822854;1571729232236, 9.84007;1571729232325, 9.799285;1571729232428, 9.827524;
I: 1571729232521, 9.851276;1571729232620, 9.811594;1571729232717, 9.812655;1571729232812, 9.844325;1571729232904, 9.817876;1571729232999, 9.799346;1571729233095, 9.838275;1571729233191, 9.844792;1571729233287, 9.786654;1571729233383, 9.797888;1571729233479, 9.818532;
I: 1571729233571, 9.829684;1571729233670, 9.799103;1571729233765, 9.815683;1571729233861, 9.830312;1571729233958, 9.834548;1571729234062, 9.819659;1571729234149, 9.823941;1571729234245, 9.816064;1571729234341, 9.839382;1571729234436, 9.834093;1571729234533, 9.800524;
I: 1571729234628, 9.826567;1571729234724, 9.826658;1571729234817, 9.804894;1571729234916, 9.836246;1571729235011, 9.817504;1571729235121, 9.825932;1571729235205, 9.83049;1571729235302, 9.802949;1571729235398, 9.815866;1571729235494, 9.814441;1571729235589, 9.822779;
I: 1571729235683, 9.841803;1571729235781, 9.810085;1571729235877, 9.818921;1571729235971, 9.810956;1571729236064, 9.8024025;1571729236161, 9.831238;1571729236259, 9.822119;1571729236352, 9.8247795;1571729236452, 9.806563;1571729236548, 9.824117;1571729236642, 9.83412;
I: 1571729236736, 9.798925;1571729236834, 9.825556;1571729236928, 9.812717;1571729237026, 9.812261;1571729237120, 9.82816;1571729237216, 9.828073;1571729237315, 9.822269;1571729237408, 9.807258;1571729237504, 9.810046;1571729237600, 9.822871;1571729237696, 9.799025;
I: 1571729237793, 9.794855;1571729237889, 9.806276;1571729237985, 9.813655;1571729238075, 9.798293;1571729238177, 9.836883;1571729238275, 9.822419;1571729238366, 9.816775;1571729238463, 9.845369;1571729238560, 9.797503;1571729238654, 9.803468;1571729238751, 9.805474;
I: 1571729238847, 9.825113;1571729238940, 9.803647;1571729239036, 9.811287;1571729239133, 9.823326;1571729239230, 9.815266;1571729239323, 9.8394;1571729239422, 9.79938;1571729239517, 9.831784;1571729239611, 9.812551;1571729239709, 9.812287;1571729239805, 9.825477;
I: 1571729239900, 9.81344;1571729239996, 9.828608;1571729240089, 9.808625;1571729240186, 9.819291;1571729240282, 9.819831;1571729240380, 9.834455;1571729240475, 9.818474;1571729240568, 9.819205;1571729240667, 9.819629;1571729240763, 9.799886;1571729240855, 9.832761;
I: 1571729240953, 9.827726;1571729241048, 9.819812;1571729241146, 9.823051;1571729241240, 9.807958;1571729241336, 9.869865;1571729241431, 9.816356;1571729241523, 9.809952;1571729241619, 9.824324;1571729241715, 9.814021;1571729241811, 9.803861;1571729241908, 9.79553;
I: 1571729242003, 9.842638;1571729242098, 9.802518;1571729242195, 9.838061;1571729242290, 9.82021;1571729242388, 9.814536;1571729242483, 9.808571;1571729242577, 9.800529;1571729242675, 9.829678;1571729242770, 9.833332;1571729242868, 9.790973;1571729242961, 9.866788;
I: 1571729243057, 9.813804;1571729243153, 9.816854;1571729243249, 9.827359;1571729243346, 9.824233;1571729243441, 9.819812;1571729243537, 9.8181095;1571729243632, 9.825949;1571729243730, 9.79586;1571729243825, 9.828788;1571729243922, 9.8159;1571729244021, 9.796279;
I: 1571729244116, 9.813381;1571729244211, 9.809772;1571729244308, 9.826748;1571729244404, 9.835907;1571729244500, 9.810746;1571729244594, 9.801112;1571729244692, 9.841369;1571729244788, 9.82208;1571729244882, 9.821517;1571729244979, 9.823393;1571729245069, 9.816956;
I: 1571729245169, 9.823597;1571729245268, 9.817929;1571729245360, 9.821571;1571729245457, 9.813988;1571729245551, 9.829631;1571729245648, 9.822488;1571729245746, 9.80256;1571729245841, 9.82021;1571729245937, 9.8059225;1571729246033, 9.819839;1571729246127, 9.83697;
I: 1571729246222, 9.845858;1571729246319, 9.829331;1571729246417, 9.787304;1571729246510, 9.804229;1571729246605, 9.831692;1571729246701, 9.808136;1571729246798, 9.837255;1571729246895, 9.823146;1571729246991, 9.837431;1571729247085, 9.836704;1571729247182, 9.816775;
I: 1571729247277, 9.823505;1571729247375, 9.825236;1571729247469, 9.8490095;1571729247562, 9.815774;1571729247661, 9.819746;1571729247757, 9.827613;1571729247852, 9.818382;1571729247946, 9.808256;1571729248048, 9.817149;1571729248139, 9.825113;1571729248235, 9.817049;
I: 1571729248333, 9.830246;1571729248426, 9.808085;1571729248524, 9.823142;1571729248619, 9.8449545;1571729248716, 9.822448;1571729248812, 9.823142;1571729248907, 9.811231;1571729249005, 9.822719;1571729249097, 9.803211;1571729249195, 9.846582;1571729249291, 9.812106;
I: 1571729249387, 9.815542;1571729249483, 9.840213;1571729249572, 9.813713;1571729249674, 9.809567;1571729249768, 9.824688;1571729249864, 9.808507;1571729249959, 9.8436165;1571729250056, 9.8222685;1571729250152, 9.810293;1571729250248, 9.829648;1571729250341, 9.81641;
I: 1571729250438, 9.813842;1571729250534, 9.810066;1571729250631, 9.822627;1571729250726, 9.84883;1571729250819, 9.80871;1571729250918, 9.867963;1571729251014, 9.798157;1571729251108, 9.844593;1571729251207, 9.830148;1571729251301, 9.825782;1571729251399, 9.814359;
I: 1571729251493, 9.818657;1571729251590, 9.808136;1571729251687, 9.848185;1571729251782, 9.819564;1571729251877, 9.8268175;1571729251973, 9.834364;1571729252065, 9.815683;1571729252162, 9.812014;1571729252260, 9.8192005;1571729252356, 9.818221;1571729252449, 9.839941;
I: 1571729252547, 9.814531;1571729252643, 9.820807;1571729252740, 9.805078;1571729252836, 9.806563;1571729252930, 9.828812;1571729253026, 9.823055;1571729253120, 9.80744;1571729253216, 9.825575;1571729253312, 9.800293;1571729253408, 9.814126;1571729253504, 9.820588;
I: 1571729253599, 9.797006;1571729253695, 9.816387;1571729253791, 9.813713;1571729253887, 9.835823;1571729253982, 9.8109255;1571729254075, 9.821352;1571729254174, 9.82357;1571729254269, 9.873433;1571729254366, 9.83709;1571729254460, 9.805297;1571729254558, 9.819659;
I: 1571729254654, 9.864569;1571729254750, 9.845594;1571729254845, 9.8071375;1571729254941, 9.817324;1571729255045, 9.844067;1571729255128, 9.785806;1571729255226, 9.801502;1571729255321, 9.803764;1571729255416, 9.817138;1571729255513, 9.813713;1571729255608, 9.805709;
I: 1571729255704, 9.807596;1571729255801, 9.818415;1571729255896, 9.812565;1571729255992, 9.808951;1571729256088, 9.832028;1571729256185, 9.8159;1571729256279, 9.828357;1571729256376, 9.814536;1571729256473, 9.80098;1571729256568, 9.813078;1571729256663, 9.824298;
I: 1571729256762, 9.818291;1571729256856, 9.8323;1571729256952, 9.838972;1571729257056, 9.819795;1571729257143, 9.824034;1571729257240, 9.829473;1571729257337, 9.818474;1571729257433, 9.85334;1571729257528, 9.819327;1571729257624, 9.820625;1571729257722, 9.8225355;
I: 1571729257818, 9.813199;1571729257913, 9.82548;1571729258009, 9.769564;1571729258102, 9.814089;1571729258200, 9.820799;1571729258296, 9.843887;1571729258393, 9.793705;1571729258489, 9.819907;1571729258581, 9.857449;1571729258680, 9.834947;1571729258773, 9.80877;
I: 1571729258872, 9.824375;1571729258965, 9.80778;1571729259058, 9.815594;1571729259159, 9.817565;1571729259256, 9.822598;1571729259352, 9.832056;1571729259447, 9.808951;1571729259543, 9.827188;1571729259640, 9.8252945;1571729259738, 9.827204;1571729259826, 9.802588;
I: 1571729259924, 9.831217;1571729260022, 9.824962;1571729260115, 9.816479;1571729260213, 9.832482;1571729260308, 9.825755;1571729260403, 9.840213;1571729260498, 9.810994;1571729260593, 9.824052;1571729260689, 9.822419;1571729260786, 9.812239;1571729260884, 9.819831;
I: 1571729260980, 9.816064;1571729261070, 9.829966;1571729261171, 9.8447;1571729261267, 9.821718;1571729261363, 9.814261;1571729261459, 9.813533;1571729261552, 9.826757;1571729261649, 9.8008585;1571729261745, 9.822497;1571729261842, 9.817145;1571729261938, 9.811014;
I: 1571729262031, 9.817959;1571729262128, 9.811927;1571729262225, 9.814531;1571729262318, 9.79968;1571729262420, 9.855564;1571729262512, 9.808209;1571729262606, 9.791699;1571729262704, 9.843078;1571729262800, 9.794989;1571729262896, 9.826355;1571729262990, 9.777186;
I: 1571729263086, 9.850894;1571729263184, 9.821024;1571729263279, 9.838041;1571729263376, 9.829947;1571729263470, 9.821079;1571729263567, 9.830603;1571729263663, 9.791553;1571729263759, 9.81742;1571729263855, 9.8122015;1571729263950, 9.823393;1571729264049, 9.8226;
I: 1571729264142, 9.817299;1571729264236, 9.824919;1571729264329, 9.810657;1571729264430, 9.817748;1571729264524, 9.810045;1571729264620, 9.836054;1571729264715, 9.824233;1571729264813, 9.829906;1571729264908, 9.803647;1571729265005, 9.802831;1571729265099, 9.816683;
I: 1571729265195, 9.8247795;1571729265292, 9.814143;1571729265385, 9.811925;1571729265481, 9.805783;1571729265574, 9.835102;1571729265673, 9.816847;1571729265769, 9.819447;1571729265867, 9.8379755;1571729265962, 9.81023;1571729266056, 9.813241;1571729266151, 9.815664;
I: 1571729266249, 9.831666;1571729266345, 9.819205;1571729266441, 9.796101;1571729266537, 9.862845;1571729266632, 9.823978;1571729266729, 9.7930155;1571729266822, 9.856725;1571729266920, 9.773252;1571729267016, 9.84883;1571729267110, 9.835096;1571729267207, 9.811652;
I: 1571729267302, 9.807329;1571729267399, 9.843795;1571729267494, 9.810776;1571729267589, 9.829784;1571729267692, 9.8071375;1571729267781, 9.844826;1571729267878, 9.819538;1571729267977, 9.812895;1571729268063, 9.813167;1571729268166, 9.814688;1571729268262, 9.830134;
I: 1571729268357, 9.822852;1571729268453, 9.814261;1571729268552, 9.798885;1571729268642, 9.823233;1571729268739, 9.821171;1571729268836, 9.838332;1571729268927, 9.813902;1571729269023, 9.8323;1571729269119, 9.790406;1571729269215, 9.824052;1571729269310, 9.810596;
I: 1571729269405, 9.812807;1571729269502, 9.826757;1571729269598, 9.805165;1571729269692, 9.834208;1571729269789, 9.802494;1571729269886, 9.82602;1571729269982, 9.797799;1571729270076, 9.84928;1571729270175, 9.828025;1571729270269, 9.817777;1571729270366, 9.82151;
I: 1571729270463, 9.82021;1571729270556, 9.823756;1571729270654, 9.815774;1571729270750, 9.82208;1571729270848, 9.834713;1571729270939, 9.816631;1571729271036, 9.840377;1571729271132, 9.80336;1571729271230, 9.8411875;1571729271322, 9.81503;1571729271421, 9.85924;
I: 1571729271517, 9.838589;1571729271613, 9.825932;1571729271710, 9.798892;1571729271805, 9.807326;1571729271900, 9.80864;1571729271997, 9.824125;1571729272090, 9.812442;1571729272195, 9.803828;1571729272284, 9.830582;1571729272381, 9.835118;1571729272476, 9.804781;
I: 1571729272569, 9.836982;1571729272668, 9.810596;1571729272760, 9.832284;1571729272858, 9.824414;1571729272957, 9.815443;1571729273051, 9.825567;1571729273145, 9.805194;1571729273242, 9.8075905;1571729273337, 9.84883;1571729273433, 9.827751;1571729273529, 9.829539;
I: 1571729273624, 9.83051;1571729273720, 9.798618;1571729273816, 9.810107;1571729273912, 9.830582;1571729274007, 9.824052;1571729274103, 9.837156;1571729274198, 9.796055;1571729274296, 9.817023;1571729274391, 9.810085;1571729274487, 9.810134;1571729274582, 9.824414;
I: 1571729274679, 9.811927;1571729274774, 9.82945;1571729274869, 9.808074;1571729274966, 9.836612;1571729275061, 9.785054;1571729275157, 9.8131275;1571729275251, 9.793014;1571729275352, 9.842005;1571729275443, 9.840376;1571729275543, 9.787891;1571729275639, 9.854663;
I: 1571729275733, 9.802627;1571729275827, 9.8334675;1571729275921, 9.846045;1571729276022, 9.792559;1571729276116, 9.835529;1571729276209, 9.823035;1571729276310, 9.833515;1571729276406, 9.82827;1571729276501, 9.813291;1571729276596, 9.79807;1571729276692, 9.843975;
I: 1571729276789, 9.827723;1571729276882, 9.816387;1571729276981, 9.818931;1571729277073, 9.79531;1571729277171, 9.808863;1571729277267, 9.822417;1571729277365, 9.836258;1571729277459, 9.821149;1571729277554, 9.820807;1571729277651, 9.825143;1571729277745, 9.809861;
I: 1571729277844, 9.803923;1571729277937, 9.835907;1571729278033, 9.834364;1571729278129, 9.816228;1571729278224, 9.825567;1571729278319, 9.800708;1571729278417, 9.816074;1571729278512, 9.81814;1571729278608, 9.821601;1571729278706, 9.835911;1571729278800, 9.831238;
I: 1571729278895, 9.822053;1571729278990, 9.8176565;1571729279086, 9.827903;1571729279182, 9.830977;1571729279279, 9.808676;1571729279376, 9.83296;1571729279471, 9.841256;1571729279567, 9.826352;1571729279664, 9.828539;1571729279760, 9.823721;1571729279854, 9.81741;
I: 1571729279951, 9.812902;1571729280049, 9.826286;1571729280140, 9.844691;1571729280238, 9.8348465;1571729280332, 9.796312;1571729280430, 9.79129;1571729280526, 9.863107;1571729280620, 9.835634;1571729280717, 9.803773;1571729280813, 9.815955;1571729280909, 9.814531;
I: 1571729281005, 9.815321;1571729281097, 9.845858;1571729281194, 9.80447;1571729281289, 9.818291;1571729281385, 9.814959;1571729281481, 9.814296;1571729281575, 9.815533;1571729281673, 9.830605;1571729281770, 9.834849;1571729281867, 9.824117;1571729281960, 9.832498;
